dropped privs to tcpdump
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
20:02:50.360833 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:02:50.609079 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:02:50.609163 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:02:50.623999 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:02:50.624681 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:02:50.628379 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:02:50.793607 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 193
20:02:50.824969 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:02:50.825534 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:02:51.372513 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:02:51.372629 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:02:51.634858 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:02:51.635028 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:02:52.617346 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:02:52.618238 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:02:52.632291 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:02:53.332770 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:02:53.332970 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:02:53.366325 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:02:53.374035 IP 216.219.95.164.47291 > 46.31.27.36.4933: UDP, length 193
20:02:53.379128 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:02:53.379210 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:02:53.562144 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:02:53.645272 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:02:53.645422 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:02:53.799779 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 193
20:02:54.561363 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:02:54.984033 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:02:54.984174 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 97
20:02:54.998755 IP 216.219.95.164.47291 > 46.31.27.36.4933: UDP, length 257
20:02:55.988381 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:02:56.299735 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:02:56.307056 IP 216.219.95.164.47291 > 46.31.27.36.4933: UDP, length 97
20:02:56.493823 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:02:56.572008 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:02:56.618132 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:02:56.633830 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:02:56.810812 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 193
20:02:57.380063 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:02:57.380898 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:02:57.506073 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:02:57.660407 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:02:57.660517 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:02:58.003919 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:02:59.294822 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 33
20:02:59.512107 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:02:59.825488 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 193
20:02:59.841968 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:02:59.897200 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:02:59.897323 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 113
20:02:59.905744 IP 216.219.95.164.47291 > 46.31.27.36.4933: UDP, length 113
20:02:59.907411 IP 216.219.95.164.47291 > 46.31.27.36.4933: UDP, length 321
20:03:00.092046 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:00.092410 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:00.093124 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:00.227809 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:00.233179 IP 216.219.95.164.47291 > 46.31.27.36.4933: UDP, length 129
20:03:00.352476 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:00.353093 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:00.419823 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:00.584720 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:00.588560 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:00.588673 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 97
20:03:00.593664 IP 216.219.95.164.47291 > 46.31.27.36.4933: UDP, length 129
20:03:00.595230 IP 216.219.95.164.47291 > 46.31.27.36.4933: UDP, length 465
20:03:00.780616 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:00.781590 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:00.848792 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:00.900896 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 97
20:03:00.904513 IP 216.219.95.164.47291 > 46.31.27.36.4933: UDP, length 129
20:03:01.037252 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:01.037339 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:01.094056 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 1297
20:03:01.095039 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 1297
20:03:01.095047 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 129
20:03:01.097628 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:01.099415 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:01.099426 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:01.163196 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 1297
20:03:01.163541 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 1297
20:03:01.163551 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 1297
20:03:01.163552 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 1297
20:03:01.303248 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 1297
20:03:01.364018 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:01.364197 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:01.426181 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:01.584499 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 1297
20:03:01.784969 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:01.784972 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:02.017726 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:02.048327 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:02.048616 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:02.129915 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 1297
20:03:02.830181 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 193
20:03:02.858995 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:03.107572 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:03.110018 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:03.110019 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:03.199962 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 1297
20:03:03.370583 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:03.370732 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:03.432373 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:03.525603 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:03.794497 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:03.797608 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:04.055622 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:04.060428 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:04.060430 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:04.084073 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:04.632268 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:04.646741 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:05.020335 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:05.097485 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 1297
20:03:05.317614 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:05.347680 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:05.393571 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:05.393648 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:05.674791 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:05.675717 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:06.031990 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:06.931479 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:07.196923 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:07.197056 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:07.197057 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:07.412529 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:07.412531 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:07.504704 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:07.801719 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:07.802102 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:07.816831 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:07.965719 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:08.034184 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:08.170540 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:08.170542 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:08.377771 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 113
20:03:08.386801 IP 216.219.95.164.47291 > 46.31.27.36.4933: UDP, length 209
20:03:08.584323 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:08.594632 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:09.399242 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 33
20:03:09.604103 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:10.027398 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:10.218560 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:10.628292 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 97
20:03:10.628295 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 97
20:03:10.635887 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:10.678227 IP 216.219.95.164.47291 > 46.31.27.36.4933: UDP, length 257
20:03:10.678327 IP 216.219.95.164.47291 > 46.31.27.36.4933: UDP, length 209
20:03:10.865301 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:10.865448 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:11.120227 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:11.120228 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:11.211421 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:11.307369 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 97
20:03:11.311668 IP 216.219.95.164.47291 > 46.31.27.36.4933: UDP, length 129
20:03:11.399875 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:11.498326 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:11.539044 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:11.601903 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:11.647821 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:11.757418 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:11.866461 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:11.866703 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:12.038483 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:12.132729 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:12.132731 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:12.411833 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:12.505799 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:12.771476 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:13.212656 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:13.220562 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:13.220992 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:13.225788 IP 216.219.95.164.47291 > 46.31.27.36.4933: UDP, length 145
20:03:13.411820 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:13.476756 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:13.591689 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:13.591820 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 113
20:03:13.610712 IP 216.219.95.164.47291 > 46.31.27.36.4933: UDP, length 385
20:03:13.648784 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:13.664908 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:13.868307 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:13.868470 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:14.134028 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:14.134254 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:14.226315 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:14.412746 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:14.427401 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:14.490333 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:14.506642 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:14.599554 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:14.600180 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:14.676615 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:14.786007 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:15.126482 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:15.390860 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:15.391251 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:15.453277 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:15.608677 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:15.608826 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:15.812033 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:15.812034 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:16.075585 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:16.075985 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:16.231740 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:16.434611 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:16.496099 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:16.604983 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:16.683046 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:17.137573 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:17.214068 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:17.619256 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:17.650771 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:17.882740 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:03:17.883029 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
